start,text
3.14,Welcome to CS229 Machine Learning.
6.405,"Uh, some of you know that this class has been taught at Stanford for a long time."
9.925,"And this is often the course that, um,"
12.48,"I most look forward to teaching each year because this is where we've helped I think,"
17.08,"several generations of Stanford students become experts in machine learning, go on to build"
21.565,many of their products and services and startups that I'm
24.25,"sure many of you are pre- or all of you are using, uh, uh, today."
28.64,"Um, so what I want to do today was spend some time talking over, uh, logistics,"
35.19,"and then, uh, spend some time, you know,"
37.325,"giving you a beginning of a intro,"
39.25,talk a little bit about machine learning.
41.875,So about 229.
45.01,"Um, you know,"
47.715,"all of you have been reading about AI in the news,"
50.78,"uh, about machine learning in the news."
52.94,"Um, and you probably heard me or others say, AI is the new electricity."
58.5,"Uh, the emergence and rise of electricity about 100 years ago,"
61.37,it transformed every major industry.
63.38,I think AI already we call machine learning for the rest of the world seems to call AI.
67.79,[NOISE]
68.81,"Um, machine learning and,"
71.105,and AI and deep learning will change the world.
73.805,"And I hope that through 229,"
75.884,we'll give you the tools you need so that you can be many of
79.07,"these future titans of industries that you can be one to go out and build,"
83.365,"you know, help the large tech companies do the amazing things they do,"
87.05,"or build your own start-up,"
88.534,or go into some other industry.
90.065,"Go, go transform healthcare or go"
91.94,transform transportation or go build a self-driving car.
94.55,"Um, and do all of these things that,"
97.145,"um, after this class,"
98.85,I think you'll be able to do.
100.26,"You know, um, the majority of students supplying- the,"
105.315,the demand for AI skills- the demand for machine learning skills is so vast.
108.86,I think you all know that.
110.015,"Um, and I think it's because machine learning has advanced"
113.66,"so rapidly in the last few years that there are so many opportunities,"
117.71,"um, to apply the learning algorithms, right?"
120.15,Both in industry as well as in academia.
122.18,"I think today, we have, um,"
124.175,the English department professors trying to
126.35,apply learning algorithms to understand history better.
128.915,"Uh, we have lawyers trying to apply machine learning into"
131.99,"process legal documents and off-campus, every company,"
135.62,both the tech companies as well as lots of
137.57,"other companies that you wouldn't consider tech companies,"
139.94,"everything from manufacturing companies, to healthcare companies,"
142.58,to logistics companies are also trying to apply machine learning.
146.795,"So I think that, um, uh, uh,"
150.1,"if you look at it on a- on a factual basis,"
153.445,the number of people doing
155.69,very valuable machine learning projects today is much greater than it was six months ago.
159.8,And six months ago is much greater than it was 12 months ago.
162.43,"And the amount of value,"
164.24,"the amount of exciting meaningful work being done in machine learning is,"
167.255,"is, is very strongly going up."
170.365,"Um, and I think that given the rise of, you know, the,"
176.01,"the amounts of data we have as well as the new machine learning tools that we have,"
180.71,"um, it will be a long time before we run out of opportunities."
184.715,"You know, before, before society as"
186.56,a whole has enough people with the machine learning skill set.
189.695,"Um, so just as maybe, I don't know,"
192.87,20 years ago was a good time to start working on this Internet thing and
197.0,all people that started working on the Internet like 20 years ago have fantastic careers.
202.115,"I think today is a wonderful time to jump into machine learning, uh, and, and,"
207.435,and the number of- and the opportunities for you to
210.23,"do unique things that no one has- no one else is doing, right?"
214.02,The opportunity for you to go to a logistics company and
216.65,"find that exciting way to apply machine learning, uh,"
219.77,will be very high because chances are
222.875,that logistic company has no one else even working on this.
226.075,"Because, you know, they probably can't- they,"
228.15,"they may not be able to hire a fantastic Stanford student that's a graduate of CS229, right?"
232.19,Because there just aren't a lot of CS229 graduates around.
234.875,"Um, so what I want to do today is,"
239.205,"um, do a quick intro talking about logistics."
242.495,"Um, and then uh, we'll,"
245.07,"we'll spend the second half of the day, you know,"
246.78,"giving an overview and,"
247.83,and talk a little bit more about machine learning.
250.315,"Okay? And uh- oh, and I apologize."
252.75,"I- I think that, uh, this room,"
254.385,"according to that sign there, seats,"
256.32,"what, 300 and something students."
258.39,"Uh, I think- we have, uh,"
260.72,"uh, like not quite 800 people enrolled in this class."
264.23,"[LAUGHTER] Uh, so there are people outside, and,"
267.4,"and all of the classes,"
268.96,"uh, are recorded and broadcast in SCPD."
271.44,"Uh, they usually- the videos are usually made available the same day."
274.93,"So for those who they can't get into the room, my apologies."
278.11,"Um, the- there were some years, um,"
280.74,where even I had trouble getting into the room but I'm glad [LAUGHTER] they let me in.
284.465,"But, but I'm- but, but hopefully, you can watch."
287.045,"You, you can watch all of these things online shortly."
289.26,[inaudible].
291.0,"Oh, I see. Yes. Yeah. [LAUGHTER] I don't know,"
294.15,it's a bit complicated.
295.65,[LAUGHTER] Yeah. Thank you.
297.965,"I think it's okay. Yeah. I- I- okay, yeah."
300.485,Yeah. Maybe for the next few classes you can squeeze in and use the NTC.
304.58,"So for now, it might be too complicated."
307.24,"Okay. So quick intros, um,"
310.52,"uh, I'm sorry, I should have introduced myself. My name is Andrew Ng."
313.29,"[LAUGHTER] Uh, uh, uh, and I wanted to introduce"
317.09,some of the rest of the teaching team as well.
321.71,There's a class coordinator.
324.315,"Um, she has been playing this role for many years now and helps"
328.505,keep the trains run on time and make sure that everything in
330.86,class happens when it's supposed to.
333.17,"Uh, uh, so, so, so should be uh- and then, uh,"
336.275,we're thrilled to have-
339.0,Do you guys want to stand up?
340.37,"Uh, we have the co-head TAs,"
342.23,"uh, respectively are PhD students working with me."
346.845,"Uh, and so bringing a lot of, um, uh,"
350.4,"technical experience, uh, technical experience in"
353.9,machine learning as well as practical know-how on how to actually make these things work.
357.785,"And with the large class that we have,"
360.11,we have a large TA team.
361.805,"Um, maybe I won't introduce all of the TAs here today"
364.49,but you'll meet many of them throughout this course here.
366.65,"But the TAs expertise span everything from computer vision and natural language processing,"
370.94,"to computational biology, to robotics."
373.23,"And so, um, through this quarter,"
375.6,"as you work on your class projects,"
377.25,"I hope that you get a lot of, uh,"
379.13,"help and advice and mentoring from the TAs, uh,"
381.905,all of which- all of whom have deep expertise not just in
384.68,"machine learning but often in a specific vertical application area,"
388.68,"um, of machine learning."
389.865,"So depending on what your projects,"
391.11,"we tried to match you to a TA that can give you advice, um, eh,"
394.92,"the most relevant, uh,"
396.435,whatever project you end up working on.
399.585,"Um, so yeah, goal of this class,"
402.73,"I hope that after the next 10 weeks,"
405.455,"uh, you will be an expert in machine learning."
408.575,"Um, it turns out that, uh,"
412.2,"uh, you know, um,"
414.06,"and- and I hope that after this class,"
415.95,"you'll be able to go out and build very meaningful machine learning applications,"
421.59,"uh, either in an academic setting where, uh,"
424.47,"hopefully you can apply it to your problems in mechanical engineering,"
428.045,"electrical engineering, and, uh, English,"
430.205,"and law and, um, uh,"
432.8,"and- and- and education and all of this wonderful work that happens on campus,"
436.64,"uh, as well as after you graduate from Stanford"
438.86,to be able to apply it to whatever jobs you find.
441.38,"Um, one of the things I find very exciting about machine learning is that it's no"
445.61,"longer a sort of pure tech company only kind of thing, right?"
450.305,"I think that many years ago,"
452.545,"um, machine learning, it was like a thing that, you know,"
455.75,the computer science department would do and that
458.06,the elite AI companies like Google and Facebook and Baidu and Microsoft would do.
462.65,"Uh, but now, it is so pervasive that even companies that are"
466.85,"not traditional because there are tech companies see a huge need to apply these tools,"
471.02,"and I find a lot of the most exciting work, uh, these days."
474.335,"Um, and, and, and maybe some of you guys know my history some would be biased, right?"
477.545,I- I led the Google Brain team which helped Google transform
480.86,"from what was already a great company 10 years ago to today which is,"
484.33,"you know, a great AI company."
485.76,"And then I also led the AI group at Baidu,"
488.27,"and, you know, led the company's technology strategy to help Baidu."
491.63,"Also, it transformed from what was already a great company"
494.72,many years ago to today arguably China's greatest AI company.
498.71,"So having led the, you know,"
500.61,"built the teams that led the AI transformations of two large tech companies,"
504.765,"I, I, I feel like that's a great thing to do."
507.765,"Uh, but even beyond tech, I think that, um,"
509.995,"there's a lot of exciting work to do as well to help other industries,"
513.02,"to help other sectors, uh,"
514.92,embrace machine learning and use these tools effectively.
517.905,"Um, but after this class,"
520.16,I hope that each one of you will be well qualified to
523.475,"get a job at a shiny tech company and do machine learning there,"
526.89,or go into one of these other industries and do
529.16,very valuable machine learning projects there.
531.835,"Um, and in addition,"
534.03,"if any of you, um,"
536.205,"are taking this class with the primary goal of, uh,"
539.785,"being able to do research,"
541.295,"uh, in machine learning,"
542.595,"so, so, actua- so some of you I know are PhD students."
546.39,"Um, I hope that this class will also leave you well-equipped to,"
549.91,"um, be able to read and understand research papers, uh,"
553.225,"as well as, uh, you know,"
554.975,"be qualified to start pushing forward,"
557.18,"um, the state of the art, right."
560.73,"Um, so let's see."
564.75,"Um, so today, uh,"
569.13,"so, so just as machine learning is evolving rapidly, um,"
572.825,"the whole teaching team,"
574.175,we've been constantly updating CS229 as well.
578.03,"So, um, it's actually very interesting."
579.995,"I feel like the pace of progress in machine learning has accelerated,"
582.77,"so it, it actually feels like that,"
585.02,"uh, the amounts we changed the class year over year has been increasing over time."
590.225,"So- so for your friends who took the class last year, you know,"
593.06,things are a little bit different this year because
595.19,"we're, we're constantly updating the class"
597.35,to keep up with what feels like still
599.45,accelerating progress in the whole field of machine learning.
602.12,"Um, so, so, so, so there are some logistical changes."
606.17,"For example, uh, uh, we've gone from- uh,"
608.435,"what we used to hand out paper copies of handouts,"
611.6,"uh, that we're, we're trying to make this class digital only."
614.18,"Uh, but let me talk a little bit about, uh,"
616.355,"prerequisites as well as in case your friends have taken this class before,"
619.46,"some of the differences for this year, right?"
622.575,"Um, so prerequisites."
624.84,"Um, we are going to assume that,"
628.46,"um, all of you have a knowledge of basic computer skills and principles."
633.05,"Uh, so, you know, Big O notation,"
634.88,"queues, stacks, binary trees."
636.605,"Hopefully, you understand what all of those concepts are."
639.44,"And, uh, assume that all of you have a basic familiarity with,"
643.155,"um, uh, probability, right?"
645.465,"Hopefully, you know what's a random variable,"
647.52,"what's the expected value of a random variable,"
649.79,what's the variance of a random variable.
651.695,"Um, and if- for some of you,"
653.495,"maybe especially the SCPD students taking this remotely,"
656.72,"it has been, you know,"
657.92,some number of years since you last had a probability and statistics class.
661.13,"Uh, we will have review sessions, uh,"
664.19,"on, on, on Fridays, uh,"
665.54,where we'll go over some of this prerequisite material as well. But it's okay.
669.095,"Hopefully, you know what a random variable is,"
670.82,what expected value is.
671.87,"But if you're a little bit fuzzy on those concepts,"
674.21,"we'll go over them again,"
675.77,"um, at a- at a discussion section, uh, on Friday."
679.47,"Also, seem to be familiar with basic linear algebra."
682.22,"So hopefully that you know what's a matrix,"
684.125,"what's a vector, how to multiply two matrices and multiplying matrices and a vector."
688.01,"Um, if you know what an eigenvector then that's even better."
692.05,"Uh, if you're not quite sure what an eigenvector is,"
694.19,"we'll go over it that- that you, you, you better-"
696.48,"uh, yeah, we'll, we'll, we'll go over it I guess."
700.11,"And then, um, a large part of this class, uh, uh, is,"
707.5,"um, having you practice these ideas through the homeworks,"
711.729,"uh, as well as I mention later a, uh, open-ended project."
715.69,"And so, um, one,"
718.0,"uh, there are- we've actually, uh,"
719.905,"until now we used to use uh MATLAB,"
722.605,"uh and Octave for the programming assignments, uh,"
725.305,"but this year, we're trying to shift the programming assignments to, uh,"
728.65,"Python, um, and so,"
730.525,"um, I think for a long time, uh,"
732.52,"even today, you know,"
734.005,"I sometimes use Octave to prototype because the syntax in Octave is so nice and just run,"
739.405,"you know, very simple experiments very quickly."
741.625,"But I think the machine learning world, um, is,"
744.475,"you know, really migrating I think from a"
748.03,"MATLAB Python world to increasing- excuse me,"
750.79,MATLAB Octave world to increasingly a Python
754.675,"maybe and- and then eventually for production Java or C++, kind of world."
758.77,"And so, uh, we're rewriting a lot of the assignments"
764.32,for this class this school year.
764.358,"Having, having driving that process,"
766.194,"uh, so that- so that this course,"
768.13,"uh, you could do more of the assignments."
770.305,"Uh, uh, maybe most- maybe all of the assignments in,"
772.87,"um, Python, uh, NumPy instead."
776.05,"Um, now, a note on the honor codes,"
779.125,"um, we ask that, you know,"
781.06,"we, we actually encourage you to form study groups."
783.385,"Uh, so, so you know I've been um, fascinated by education, a long time."
788.71,I spent a long time studying education and pedagogy and how instructors
792.19,like us can help support youth to learn more efficiently.
795.79,And one of the lessons I've learned from
797.35,"the educational research literature is that the highly technical classes like this,"
801.925,"if you form study groups, uh,"
803.95,"you will probably have an easier time, right?"
806.38,"So, so CS229, we go for the highly technical material."
809.32,"There's a lot of math, some of the problems are hard and if you have"
811.78,"a group of friends to study with, uh,"
814.45,"you probably have an easier time uh, uh,"
816.625,because you can now ask each other questions and work together and help each other.
819.625,"Um, where we ask you to draw the line or what we ask"
823.0,"you to, to, to do relative to Stanford's,"
826.33,"uh, Honor Code is, um,"
828.115,"we ask that you do the homework problems by yourself, right?"
831.58,"Uh, and, and, and most specifically, um,"
834.1,"it's okay to discuss the homework problems with friends,"
836.395,"but if you, um,"
838.03,"but after discussing homework problems with friends,"
839.98,"we ask you to go back and write out the solutions by yourself, uh,"
843.82,"without referring to notes that,"
845.665,"you know, you and your friends had developed together, okay?"
848.38,"Um, the class's honor code is written clearly"
851.845,on the class handouts posted digitally on the website.
855.58,So if you ever have any questions about what
858.13,"is allowed collaboration and what isn't allowed, uh,"
860.59,please refer to that written document on
862.51,"the course website where we describe this more clearly, but,"
865.615,"um, out of respect for the Stanford honor code as well as for,"
869.5,"uh, uh, you know,"
870.985,"for, for, for students kind of doing their own work,"
873.4,"we asked you to basically do your own work, uh,"
875.74,"for the- it's okay to discuss it,"
878.17,"but after discussing homework problems with friends, ultimately,"
880.81,we ask you to write up your problems by yourself so that
883.645,"the homework submissions reflect your own work, right?"
887.47,"Um, and I care about this because it turns out that having CS 229,"
892.42,"you know, CS 229 is one of those classes that employers recognize."
896.02,"Uh- uh, I don't know if you guys know,"
897.79,"but there have been, um,"
899.38,"companies that have put up job ads that say stuff like,"
902.815,"""So long as you've got- so long as you completed"
905.32,"CS 229 we guarantee you get an interview,"" right?"
908.08,[LAUGHTER] I've- I've seen stuff like that.
909.55,"And so I think you know in order to, to maintain"
913.0,"that sanctity of what it means to be a CS 229 completer,"
916.27,"I think, um, and I'll ask all of you so that- really do your homework."
920.56,"Um, or stay within the bounds of acceptable,"
922.795,acceptable collaboration relative to the honor code.
926.545,"Um, let's see."
929.02,"And I think that um, uh,"
930.655,"if- uh, you know what?"
934.09,"This is, um, [NOISE] yeah."
936.715,"And I think that, uh,"
938.125,"one of the best parts of CS 229,"
941.215,"it turns out is, um, excuse me."
946.03,"So I'm trying, sorry, I'm going to try looking for my mouse cursor."
966.0,"Uh, all right. Sorry about that."
971.23,My- my- my displays are not mirrored.
974.065,So this is a little bit awkward.
981.72,"Um, so one of the best parts of the class is- oh,"
989.965,shoot. Sorry about that.
991.21,[LAUGHTER]
993.91,"All right, never mind. I won't do this."
996.125,"Um, you could do, you could do it yourself online later."
999.535,"Um, yeah, I started"
1003.78,using- I started using Firefox recently in addition to Chrome here. It's a mix up.
1009.255,"Um, one of the best parts of, um,"
1012.345,"the class is, um, the class project."
1017.055,"Um, and so, you know,"
1018.9,one of the goals of the class is to leave you
1020.55,well-qualified to do a meaningful machine learning project.
1023.745,"And so, uh, one of the best ways to make sure you have that skill set"
1028.29,is through this class and hopefully with the help of some of our TAs.
1032.25,"Uh, we wanna support you to work on"
1035.04,a small group to complete a meaningful machine learning project.
1039.33,"Um, and so one thing I hope you start doing, you know,"
1042.105,"later today, uh, is to start brainstorming maybe with your friends."
1046.59,"Um, some of the- some of the class projects you might work on."
1050.265,"Uh, and the most common class project that, you know,"
1053.55,people do in CS 229 is to pick an area or pick an application that excites you and
1059.22,to apply machine learning to it and see if you can
1061.71,build a good machine learning system for some application area.
1065.04,"And so, um, if you go to the course website, you know,"
1067.77,"cs229.stanford.edu and look at previous year's projects,"
1071.64,"you ha- you, you see machine learning projects applied to pretty much,"
1074.49,"you know, pretty much every imaginable application under the sun."
1078.3,"Everything from I don't know,"
1079.965,"diagnosing cancer to creating art to, uh,"
1083.28,"lots of, um, uh, projects applied to other areas of engineering, uh,"
1087.48,"applying to application areas in EE,"
1089.58,"or Mechanical engineering, or Civil engineering,"
1091.17,"or Earthquake engineering, and so on, uh,"
1093.15,"to applying it to understand literature,"
1095.31,"to applying it to um, uh, I don't know."
1098.16,"And, and, and, and, and so, uh,"
1099.72,if you look at the previous year's projects
1102.525,of many of which are posted on the course website.
1104.91,"You could use that as inspiration to see the types of projects students complete,"
1108.9,"completing this class are able to do and also encourage you to, um, uh,"
1113.445,you can look at that for inspiration to get
1116.16,a sense of what you'll be able to do at the end-
1118.2,conclusion of this class and also see if looking at
1121.77,"previous year's projects gives you inspiration for what,"
1125.34,"um, you might do yourself."
1127.5,"Uh, so we asked you to- we, we invite you I guess to"
1130.68,"do class projects in small groups and so, um,"
1134.07,"after class today, also encourage you to start"
1136.68,making friends in the class both for the purpose of forming
1139.29,study groups as well as with the purpose of maybe finding
1141.765,a small group to do a class project with.
1144.66,"Um, uh, we asked you to form project groups of,"
1148.44,"um, up to size three."
1149.85,"Uh, uh, most project groups end up being size two or three."
1153.645,"Um, if you insist on doing it by yourself,"
1155.895,right without any partners that's actually okay too.
1157.86,You're welcome to do that.
1159.045,"But, uh, but- but I think often, you know,"
1161.565,having one or two others to work with may give you an easier time.
1164.595,"And for projects of exceptional scope,"
1167.055,"if you have a very very large project,"
1168.54,that just cannot be done by three people.
1170.445,"Um, uh, sometimes, you know,"
1172.275,"let us know and we're open to- with, with to some project groups of size four,"
1178.23,"but our expectation- but we do hold projects, you know,"
1181.86,"with a group of four to a higher standard than projects with size one to three, okay."
1186.615,"So- so what that means is that if your project team size is one,"
1190.44,"two or three persons,"
1191.58,the grading is one criteria.
1193.5,"If your project group is bigger than three persons,"
1196.17,we use a stricter criteria when it comes to grading class projects.
1200.34,"Okay. Um, and that, that reminds me um,"
1204.795,"uh, I know that uh- let's see."
1206.82,So for most of you since this- since this
1208.92,"started 9:30 AM on the first day of the quarter,"
1211.32,"uh, for many of you,"
1212.73,this may be- this may be your very first class at Stanford.
1215.955,"How many of you, this is your very first class at Stanford?"
1218.865,Wow. Cool. Okay. Awesome. Great. Welcome to Stanford.
1221.82,[LAUGHTER]
1222.03,"Uh, and if someone next to"
1224.46,"you just raise their hand- uh actually, rai- raise your hand again."
1227.31,"So I hope that, you know, maybe after class today,"
1229.26,"if someone next to you raised a hand, uh,"
1231.24,"help welcome them to Stanford, and"
1233.4,"then, say hi and introduce yourself and make friends on the way."
1235.785,"Yeah. Cool. Nice, nice to see so many of you here."
1238.71,Um.
1240.0,[NOISE]
1244.97,"All right. So um,"
1249.4,"just a bit more on logistics, uh-"
1252.58,"So, um, let's see,"
1257.175,"in addition to the main lectures that we'll have here,"
1260.88,"uh, on Mondays and Wednesdays,"
1263.04,"um, CS229 also has discussion sections, uh,"
1266.58,"on- held on Fridays that are- and everything we do including the- all the,"
1270.84,"all the lectures and discussion sections are recorded and broadcast through SCPD,"
1275.505,"uh, through the online websites."
1277.26,"Um, and one of- and,"
1280.2,"uh, discussion sections are taught,"
1282.78,"uh, usually by the TAs on Fridays and attendance at discussion sections is optional."
1288.45,"Uh, and what I mean is that, um, you- you know,"
1291.39,"you- 100% promise,"
1292.83,there won't be material on the midterm that will sneak in from this kind of section.
1296.85,So it's 100% optional.
1298.17,"Uh, and you will be able to do all the homework and"
1300.51,the projects without attending the discussion section.
1303.15,"But what we'll use the discussion section for,"
1305.245,"uh, for the first three discussion sections."
1307.47,"So, you know, this week, next week, uh, the week after that,"
1309.975,we'll use the discussion sections to go over prerequisite material in greater depth.
1314.085,"So, uh, go over, uh,"
1315.9,"linear algebra, basic probability statistics,"
1318.3,teach a little bit about Python NumPy in
1320.58,case you're less familiar with those frameworks.
1323.055,"Uh, so we'll do that for the first few weeks."
1325.05,"And then for the discussion sections that are held later this quarter,"
1328.725,we'll usually use them to go over more advanced optional material.
1333.045,"Uh, for example, um,"
1334.8,"CS229, most of the learning algorithms,"
1336.72,"you- you hear about in a class rely on convex optimization algorithms,"
1341.505,but we want to focus the class on
1344.055,the learning algorithms and spend less time on convex optimization.
1347.67,So you want to come and hear about more advanced concepts in convex optimization.
1351.84,We'll defer that to the discussion section.
1354.24,"Uh, and then, there, there are few other advanced topics,"
1357.33,"uh, Hidden Markov Models, time series,"
1359.31,"uh, that we're planning to defer to the,"
1362.58,"um, Friday discussion sections."
1365.475,"Okay. Um, so, uh, let's see."
1371.67,"Um, cool, and, uh, and,"
1374.55,"um, a final bit of logistics, um, uh,"
1379.575,"for- there are digital tools that some of you have seen, but, um,"
1384.18,"for this class, we'll drive a lot of the discussion through the,"
1387.72,"uh, online website Piazza."
1389.325,"How- how many of you have used Piazza before? Okay, cool, mostly."
1392.685,"Wow, all of you?"
1393.81,"That's very amazing. Uh, good."
1396.255,"So, so, uh, online discussion board"
1398.82,"for those of you that haven't seen it before, but, um,"
1401.1,I definitely encourage you to participate actively
1404.51,on Piazza and also to answer other student's questions.
1408.13,"I think that one of the best ways to learn as well as contribute, you know,"
1412.17,"back to the class as a whole is if you see someone else ask a question on Piazza,"
1416.265,"if you jump in and help answer that, uh,"
1418.68,"that, that often helps you and helps your classmates."
1421.65,I strongly encourage you to do that.
1424.605,"For those of you that have a private question,"
1427.245,"you know, sometimes we have students, um, uh,"
1429.915,"reaching out to us to- with a personal matter or something that, you know,"
1435.42,is not appropriate to share in a public forum in which case you're welcome
1438.36,to email us at the class email address as well.
1441.555,"Uh, and we answer in, in the class email address- the cla-"
1444.625,"teaching staff's email address on the course website,"
1446.46,you can find it there and contact us.
1448.035,"But for anything technical,"
1449.97,"anything reasonable to share with the class, uh,"
1452.64,"which includes most technical questions and most logistical questions, right?"
